#{"t_start": 1773675695.5874863, "env_id": "None"}
r,l,t
45.103926,226,138.110165
50.759191,272,138.275187
63.368679,255,138.452253
60.961883,216,138.610653
60.141562,223,140.077968
36.866347,215,140.201338
48.897922,317,140.458393
55.832058,256,140.677177
60.915411,265,140.88366
50.406469,329,141.152643
45.518751,297,141.401665
